98,255
102,292
109,329
118,365
131,400
153,430
182,454
215,471
251,475
288,468
319,448
345,422
365,391
376,356
382,320
386,283
387,246
123,218
141,205
163,201
186,203
207,209
271,206
293,199
315,196
337,198
357,208
243,240
244,263
244,286
245,309
216,332
231,335
246,336
261,334
274,330
151,248
168,236
188,236
205,249
187,254
168,255
280,246
296,233
317,231
333,243
316,250
298,250
195,383
210,372
228,363
247,366
266,362
284,369
300,379
285,391
268,400
249,403
229,401
211,394
211,381
229,378
248,379
266,377
284,379
266,380
248,383
229,381
36.0,0.0
0.0,17.0
17.0,36.0
0.0,36.0
36.0,1.0
1.0,0.0
58.0,7.0
7.0,6.0
6.0,58.0
7.0,58.0
58.0,57.0
57.0,7.0
2.0,31.0
31.0,3.0
3.0,2.0
31.0,2.0
2.0,41.0
41.0,31.0
2.0,1.0
1.0,41.0
41.0,2.0
50.0,33.0
33.0,51.0
51.0,50.0
33.0,50.0
50.0,32.0
32.0,33.0
34.0,52.0
52.0,33.0
33.0,34.0
52.0,34.0
34.0,35.0
35.0,52.0
4.0,3.0
3.0,48.0
48.0,4.0
54.0,35.0
35.0,13.0
13.0,54.0
35.0,54.0
54.0,53.0
53.0,35.0
5.0,4.0
4.0,48.0
48.0,5.0
29.0,31.0
31.0,40.0
40.0,29.0
31.0,29.0
29.0,30.0
30.0,31.0
6.0,5.0
5.0,59.0
59.0,6.0
41.0,1.0
1.0,36.0
36.0,41.0
30.0,35.0
35.0,34.0
34.0,30.0
35.0,30.0
30.0,29.0
29.0,35.0
8.0,7.0
7.0,57.0
57.0,8.0
9.0,8.0
8.0,57.0
57.0,9.0
10.0,9.0
9.0,56.0
56.0,10.0
21.0,27.0
27.0,39.0
39.0,21.0
27.0,21.0
21.0,22.0
22.0,27.0
11.0,10.0
10.0,55.0
55.0,11.0
37.0,40.0
40.0,41.0
41.0,37.0
40.0,37.0
37.0,38.0
38.0,40.0
12.0,11.0
11.0,54.0
54.0,12.0
39.0,27.0
27.0,28.0
28.0,39.0
13.0,12.0
12.0,54.0
54.0,13.0
18.0,37.0
37.0,36.0
36.0,18.0
37.0,18.0
18.0,19.0
19.0,37.0
14.0,13.0
13.0,35.0
35.0,14.0
18.0,36.0
36.0,17.0
17.0,18.0
15.0,14.0
14.0,46.0
46.0,15.0
16.0,15.0
15.0,45.0
45.0,16.0
23.0,20.0
20.0,19.0
19.0,23.0
20.0,23.0
23.0,22.0
22.0,20.0
29.0,40.0
40.0,39.0
39.0,29.0
42.0,29.0
29.0,28.0
28.0,42.0
29.0,42.0
42.0,47.0
47.0,29.0
29.0,47.0
47.0,35.0
35.0,29.0
19.0,20.0
20.0,37.0
37.0,19.0
23.0,19.0
19.0,24.0
24.0,23.0
22.0,21.0
21.0,20.0
20.0,22.0
20.0,21.0
21.0,38.0
38.0,20.0
42.0,27.0
27.0,22.0
22.0,42.0
27.0,42.0
42.0,28.0
28.0,27.0
42.0,22.0
22.0,43.0
43.0,42.0
43.0,22.0
22.0,23.0
23.0,43.0
46.0,14.0
14.0,35.0
35.0,46.0
23.0,44.0
44.0,43.0
43.0,23.0
44.0,23.0
23.0,24.0
24.0,44.0
46.0,44.0
44.0,45.0
45.0,46.0
44.0,46.0
46.0,43.0
43.0,44.0
24.0,25.0
25.0,44.0
44.0,24.0
26.0,16.0
16.0,45.0
45.0,26.0
25.0,26.0
26.0,45.0
45.0,25.0
40.0,38.0
38.0,39.0
39.0,40.0
35.0,53.0
53.0,52.0
52.0,35.0
28.0,29.0
29.0,39.0
39.0,28.0
31.0,50.0
50.0,49.0
49.0,31.0
50.0,31.0
31.0,32.0
32.0,50.0
31.0,49.0
49.0,48.0
48.0,31.0
62.0,61.0
61.0,51.0
51.0,62.0
61.0,62.0
62.0,67.0
67.0,61.0
61.0,60.0
60.0,49.0
49.0,61.0
60.0,61.0
61.0,67.0
67.0,60.0
31.0,30.0
30.0,32.0
32.0,31.0
48.0,3.0
3.0,31.0
31.0,48.0
9.0,57.0
57.0,56.0
56.0,9.0
32.0,30.0
30.0,33.0
33.0,32.0
64.0,65.0
65.0,63.0
63.0,64.0
65.0,64.0
64.0,55.0
55.0,65.0
33.0,30.0
30.0,34.0
34.0,33.0
15.0,46.0
46.0,45.0
45.0,15.0
31.0,41.0
41.0,40.0
40.0,31.0
20.0,38.0
38.0,37.0
37.0,20.0
36.0,37.0
37.0,41.0
41.0,36.0
21.0,39.0
39.0,38.0
38.0,21.0
43.0,46.0
46.0,47.0
47.0,43.0
44.0,25.0
25.0,45.0
45.0,44.0
42.0,43.0
43.0,47.0
47.0,42.0
46.0,35.0
35.0,47.0
47.0,46.0
59.0,5.0
5.0,48.0
48.0,59.0
48.0,49.0
49.0,60.0
60.0,48.0
67.0,62.0
62.0,66.0
66.0,67.0
49.0,50.0
50.0,61.0
61.0,49.0
51.0,33.0
33.0,52.0
52.0,51.0
50.0,51.0
51.0,61.0
61.0,50.0
53.0,63.0
63.0,52.0
52.0,53.0
63.0,53.0
53.0,64.0
64.0,63.0
51.0,52.0
52.0,63.0
63.0,51.0
55.0,10.0
10.0,56.0
56.0,55.0
11.0,55.0
55.0,54.0
54.0,11.0
53.0,54.0
54.0,64.0
64.0,53.0
54.0,55.0
55.0,64.0
64.0,54.0
55.0,56.0
56.0,65.0
65.0,55.0
51.0,63.0
63.0,62.0
62.0,51.0
56.0,57.0
57.0,66.0
66.0,56.0
57.0,58.0
58.0,66.0
66.0,57.0
58.0,6.0
6.0,59.0
59.0,58.0
48.0,60.0
60.0,59.0
59.0,48.0
58.0,59.0
59.0,67.0
67.0,58.0
60.0,67.0
67.0,59.0
59.0,60.0
66.0,65.0
65.0,56.0
56.0,66.0
65.0,66.0
66.0,62.0
62.0,65.0
62.0,63.0
63.0,65.0
65.0,62.0
66.0,58.0
58.0,67.0
67.0,66.0
